title,link,price,rating,brand,model_name,operating_system,cellular_technology,wireless_network_technology,about
Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Polar Silver,https://www.amazon.com/battery-Unlocked-Motorola-Camera-Silver/dp/B09L2WFNVX/ref=sr_1_1?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1672916498&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-1,$129.99,4.4,Motorola,Moto G Power,Android 10.0,2G,"GSM, CDMA, LTE","Carrier compatibility: AT&T: VoLTE, Verizon: VoLTE, T Mobile: VoLTE, WiFi Calling, Video Calling, Tracfone: GSM, CDMA, Ting: VoLTE. Does not support: Xfinity Wireless, Spectrum, Optimum Mobile. For all carrier compatibility details - please check the product images in detail.Form_factor : Slider    Up to three-day battery. Capture more of life without stopping to recharge thanks to a 5000 mAh battery.Aspect Ratio: 19:9    48 MP triple camera system. Take stunning photos in any light, as well as beautifully blurred portraits and incredibly detailed closeups.    6.6"" Max Vision HD, display. Watch games, movies, and video chats come to life on an ultra-wide screen.    Has a 2020 Qualcomm Snapdragon 662 processor, updated from the 2019 Qualcomm Snapdragon 665 in the moto g power 2020.Lag-free performance. Get more done without slowing down thanks to a speedy Qualcomm Snapdragon 662 processor.    Water-repellent design3. Keep your phone safe from accidental spills and splashes.    My UX Your phone. Your experience. With My UX, your phone works the way you want. Control it with simple gestures, customize your entertainment settings, and create a look that’s one in a million. The new My UX. It’s all you."
"TCL 20 SE 6.82"" Unlocked Cellphone, 4GB RAM + 128GB ROM, US Version Android Smartphone 48MP AI Quad-Camera, 5000mAh Mobile Phone, Dual Speaker, OTG Reverse Charging, Android 11, Aurora Green",https://www.amazon.com/TCL-Cellphone-Smartphone-Quad-Camera-Octa-Core/dp/B0949744D3/ref=sr_1_24?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1672916498&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-24,$189.99,4.2,TCL,20 SE,Android 11.0,"4G, 3G, GSM,LTE, UMTS, HSPA+","GSM, LTE","Fast and Smooth Performance: Feel instant response time thanks to the Qualcomm Octa-Core processor. Compatible with the T-Mobile and AT&T LTE networks. TCL 20 SE unlocked cell phone is currently not certified for use on Verizon. Not compatible with any CDMA networks.(such as Verizon, Sprint, Spectrum, Xfinity,etc.)This Model is made for the US with a one-year US warranty.    Captivating Cinematic Visual Experience: Enjoy a stunning display with bright and vivid colors anywhere with the TCL 20 SE unlocked mobile phone. A 6.82-inch V-notch display, powered by NXVISION shows off your media at its fullest. With a 90% screen-to-body ratio and 20.5:9 aspect ratio for optimum viewing in a slim form, the expansive display provides you the maximum amount of screen for streaming.    Intelligent 48MP AI Quad-Camera: Shoot high-definition images effortlessly with a 48MP AI rear camera. Capture various perspectives with macro, depth and super-wide-angle cameras, plus an impressive 13MP front camera. Every shot you take will be stunning.    Massive 128GB Internal Storage: The phone's 128GB memory allows you to store and access all the photos, videos, music, books and files you need instantly without worrying about running out of space. You can also add up to 256GB of memory with a microSD card (sold separately).    Enjoy More with a Long-lasting 5000 mAh Battery: The 5000mAh battery lets you enjoy your movies, music and browsing for hours on a single charge, while on-the-go reverse charging lets you power up all your other devices.(Note:TCL 20SE android smartphone does not support 5G, NFC & 5Ghz wifi)    About Screen Sensitivity: Our phones are set to a neutral screen sensitivity defaultly. If you find the screen unsensitive, please adjust the sensitivity level through settings ( Settings -> System - > Languages & input ->Advanced ->Pointer speed).Drag the slider right to increase sensitivity. Drag the slider left to decrease sensitivity."
"Samsung Galaxy A20 32GB 6.4"" Display A205U Black Unlocked Smartphone (Renewed)",https://www.amazon.com/Samsung-Unlocked-Android-Smartphone-Renewed/dp/B088XZFKJ5/ref=sr_1_23?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1672916498&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-23,$114.00,4.0,SAMSUNG,A20 32GB A205U,Android,2G,"GSM, CDMA",Item Package Dimension: 6.649999993217L X 3.4599999964708W X 1.9299999980314H Inches    Item Package Weight - 0.7495716908 Pounds    Item Package Quantity - 1    Product Type - Cellular Phone
"4G Unlocked Cell Phone, 4G+128GB C21 Ultra Dual Sim Smartphones,6.8inch Waterdrop Screen Unlocked Mobile Phone, Android Smartphones Unlocked 5000mAh | Fingerprint Lock & Face ID | US Version Phones",https://www.amazon.com/Unlocked-Smartphones-6-8inch-Waterdrop-Fingerprint/dp/B0BL387LGQ/ref=sr_1_22?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1672916498&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-22,$129.99,4.1,SANSHREUNI,,Android 11.0,4G,LTE,"【4G Smartphone Global Bands 】C21 unlocked android phones compatible with multiple carriers, 4G LTE network, does not work with AT&T, Cricket, CDMA networks like Verizon, Sprint and Boost (support major carriers like T-mobile, Metro PCS etc. You need to ask to help set the correct APN to use    【4GB + 128GB C21 android phone】unlocked smartphones support for 128GB expansion (support for simultaneous installation of two SIM cards and one TF card). 4GB RAM and 128GB enough for apps including messaging, chat apps, cell phone battery capacity is 5000mAh.    【Face ID + Fingerprint Mobile Phone】 6.8 inch large screen 4g lte phone unlocked with face recognition function + Fingerprint, 5 points touch capacitive touch screen. Magnesium aluminum body, Nano 3D galvanizing gradient glass back cover. Support WIFI + BT + FM + GPS function, USB C interface, standard 3.5mm headphone jack    【Android 11 T-mobile Phones】C21 dual sim unlocked smartphones with 24MP front camera, f/2.0 aperture, fixed focal length, 48MP rear camera (color, f/1.8 aperture) autofocus, vibrant colors, clarity and dynamic range. in the dimmest light, Turn your selfies into masterpieces and shine in every photo    【100% Satisfaction Guarantee】 If you have questions about android cell phone , please contact us at any time, we will provide you with the best solution. In addition to this product's C21 cell phone, you will also receive a phone case *1, protective film *1, earphone *1, user manual *1, charger adapter *1, pen *1"
Samsung Galaxy S8 64GB Phone - 5.8in Unlocked Smartphone - Midnight Black (Renewed),https://www.amazon.com/Samsung-Galaxy-64GB-Phone-Smartphone/dp/B076M9RQJ2/ref=sr_1_21?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1672916498&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-21,$139.50,4.2,SAMSUNG,Galaxy S8,Android,"GSM, HSPA, LTE",GSM,"Factory Unlocked (Unlocked by the Manufacturer) and is fully compatible with every GSM Carrier worldwide (a 'GSM Carrier' is a carrier that uses a SIM card, such as AT&T, T-Mobile, etc and is NOT COMPATIBLE with CDMA carriers such as Verizon Wireless, Sprint, and US Cellular).    5.8"" Infinity Display: a bezel-less, full-frontal, edge-to-edge screen.    Processor: Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo) CUP    64GB Internal Memory, 4GB RAM (no memory card slot to expand memory)    This Certified Refurbished product has been tested and certified to work and look like new, with minimal to no signs of wear, by a specialized third-party seller approved by Amazon. The product is backed by a minimum 90-day warranty, and may arrive in a generic brown or white box. Accessories may be generic and not directly from the manufacturer."
"TCL 30 Z |2022| 6.1 Inch Unlocked Cell Phone with HD+ Display, US Version Android 12 Smartphone 32GB+3GB RAM, 3000mAh Android Phone, Prime Black",https://www.amazon.com/TCL-Unlocked-Display-Version-Smartphone/dp/B0B1DFJGSX/ref=sr_1_20?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1672916498&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-20,$129.99,4.0,TCL,TCL 30 Z,Android 12,4G,"Wi-Fi, CDMA, LTE","Network - Compatible with the AT&T, T-Mobile and Verizon LTE. TCL 30 Z unlocked smart phone has been certified for use on the Verizon LTE network. If your device is not receiving messages or experiences an error when making phone calls on Verizon, your account may need to be provisioned to support ""CDMA-less"" devices. Please get in touch with Verizon's technical support team or your account's business representative for assistance. Not compatible with CDMA networks (such as Sprint).    6.1"" HD+ Vivid Display - The 6.1"" HD+ Display with an 85.2% screen-to-body ratio will upgrade your visual experience that is gentle on the eyes. Enjoy immersive visuals with NXTVISION technology. NXTVISION elevates color, contrast, and sharpness to deliver brilliant images and cinema-grade videos. TCL 30 Z unlocked android phone is a US version phone with a 12-month US warranty.    Enjoy More & Keep More - 3GB RAM+ 32GB ROM memory can easily meet your daily needs. Moreover, you can add up to 512GB with a Micro SD card (sold separately). With TCL 30 Z cell phone, you can store massive photos, movies, books, and what you need and love. TCL 30Z is easy to use, making it a great phone for seniors. You could buy it for your kids, parents, grandparents or the elderly. Besides, TCL 30 Z unlocked phone keeps your information and device secure using face unlock.    Long Standby Time - A lasting 3000mAh battery allows you to stay connected all day before needing a charge. Also, the unlocked android phone offers a long standby time (4G: 593H / 4G VOLTE: 562H) and a long talking time (4G VOLTE: 18.7H). And the MTK 6761V_CA chipset and Android 12 smartphone system deliver a smooth and reliable performance.    Capture great moments - Easily navigate the world with the 8MP rear and 5MP front-facing camera. Stay comfortable and browse easily with adaptive modes, improving comfort and readability. Note: TCL 30Z mobile phone does not support 5G, NFC, or 5Ghz Wi-Fi."
"OnePlus Nord N200 | 5G Unlocked Android Smartphone U.S Version | 6.49"" Full HD+LCD Screen | 90Hz Smooth Display | Large 5000mAh Battery | Fast Charging | 64GB Storage | Triple Camera,Blue Quantum",https://www.amazon.com/OnePlus-Unlocked-Android-Smartphone-Charging/dp/B07XWGWPH5/ref=sr_1_19?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1672916498&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-19,$189.99,4.1,OnePlus,N200,"OxygenOS 11, Android 11.0",5G,,"5G Unlocked for T-mobile and Google Fi. 4G Compatible with T-Mobile, AT&T, Verizon and Google Fi. Powered by the latest Qualcomm 5G chipset, the OnePlus Nord N200 5G allows you to download or stream your favorite TV shows, connect with your social media, and play online multiplayer at blazing fast speeds.    6.49” Full HD+ LCD Display, 90Hz Smooth Display - Immerse yourself in all your favorite movies, TV shows, and video games with N200 5G’s 6.49” crystal clear Full HD+ display.    90Hz Smooth Display - The 90Hz refresh rate refreshes 50% faster than standard 60Hz displays, ensuring smooth navigation and scrolling across the home screen and your applications.    Large 5000mAh battery - The OnePlus Nord N200 5G is powered by a massive 5000mAh battery, providing all the power required to get you through the day. Watch hours of TV, play graphically intense games, or browse the internet non-stop without fear of your device dying.    18W Fast Charging - The N200 5G’s 18W fast charging gets you refilled and back on your feet quickly.    4GB RAM + 64GB built-in storage (expandable up to 256GB) - The OnePlus Nord N200 5G packs all the performance power and storage you’ll need to run and store your favorite content. 4GB of RAM ensures your applications and content run smoothly, making for a seamless, customizable, and enjoyable mobile experience. The 64GB of built-in storage ensures you can have all your favorite films, TV shows, games, and photos with you on the go. Need more storage? Expand it by up to 256GB with a microSD card.    13MP Triple Camera System - It’s easy to capture every moment with clarity thanks to the 13MP main camera. Take up close and personal shots with the macro lens and add some definition to your black-and-white photos with the mono lens.    Single-SIM. If your device is not receiving text messages or experiencing error when making phone calls, you need to contact carriers' technical support to add CDMALess feature."
Simple Mobile Samsung Galaxy A13 5G Prepaid Smartphone (Locked) - Black - 64GB - Sim Card Included - GSM,https://www.amazon.com/Simple-Mobile-Samsung-Prepaid-Smartphone/dp/B09X7F6VK3/ref=sr_1_18?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1672916498&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-18,,3.9,Simple Mobile,Samsung Galaxy A13,Android 11.0,5G,GSM,"We’ve gone and done it. Galaxy A13 5G packs our core features into one of the most affordable 5G phones on the market. What does that mean for you? Incredible video capturing and photos with a high-res triple camera, and enhanced storage that has room for all of your favorite memories..Form_factor : Bar    6.5"" HD+ LCD Display; Android 11; Octa-Core 2.4GHz Processor; 5,000mAh battery; Face Unlock; 90Hz refresh rate    64GB Internal Memory (expandable to 1TB); 4GB RAM; 50MP Rear + 2MP Macro + 2MP Depth Cameras; 5MP Front Camera; 5G    Carrier: This phone is locked to Simple Mobile, which means this device can only be used on the Simple Mobile wireless network.    Unlimited Talk, Text and Data plans starting as low as $25/month"
Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo,https://www.amazon.com/battery-Unlocked-Motorola-Camera-Indigo/dp/B09BTB5MKT/ref=sr_1_17?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1672916498&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-17,$104.91,4.2,Motorola,Moto G Pure,Android 11.0,"GSM, LTE-less","GSM, CDMA, LTE","Carrier compatibility: AT&T: VoLTE, Verizon: VoLTE, T Mobile: VoLTE, WiFi Calling, Video Calling, Tracfone: GSM, Spectrum: VoLTE, WiFi Calling. Does not support: Boost: Republic Wireless, Tracfone (CDMA), Straight Talk Wireless (CDMA), Xfinity Wireless. For all carrier compatibility details - please check the product images in detail.Form_factor : smartphone    Meet Moto G Pure and get more of what you love. An ultra-wide view of your favorite movies, games, and video chats on a 6.5"" Max Vision HD+ display. Plus, a two-day battery to keep the fun going all weekend long. And there’s more. Dual camera system with Night Vision. Super-responsive processor. Water-repellent design. With Moto G Pure, more comes standard.    MediaTek Helio G25 processor. Super-responsive performance. Feel your phone respond instantly to every touch, tap, and swipe using an octa-core processor with HyperEngine.    13MP Dual Camera System. Dual camera system with Night Vision. Capture beautiful portraits with a blur effect and take incredibly vivid photos in the dark. FRONT CAMERA/ 5MP (f/2.4, 1.12um)    6.5"" Max Vision HD+ display. Bring your favorite games, movies, and video chats to life on a stunning ultra-wide screen.    Two-day battery. Keep the fun going all weekend long with a 4000 mAh battery.    Water-repellent design. Keep your phone safe from accidental spills and splashes."
"Yoidesu S22 Ultra Smartphone, 7.3in HD Screen Cell Phone, 4GB RAM 64ROM, Dual SIM, WiFi, BT, FM, GPS, Face Unlocked, 5MP Rear and 8MP Front Camera, 4500mah Battery, Type C Mobile Phone(US Plug)",https://www.amazon.com/Yoidesu-Smartphone-Unlocked-4500mah-Battery/dp/B0B6RQZ646/ref=sr_1_16?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1672916498&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-16,$106.04,2.2,Yoidesu,,,,Wi-Fi,"7.3 Inch HD Screen: The display screen adopts a beautifully curved corner design, inch is the diagonal length of the display screen when the rounded corners are stretched to a right angle.    Practical Functions: Face recognition, with WIFI, BT, FM, GPS, Type C charging port, 3.5mm standard headphone interface. Full functioning, convenient to use.    Dual Sim: Maximum support expansion 128GB memory card, support to install two Sim cards at the same time or install one Sim card and one small memory card at the same time.    Dura HD Camera: Front 5MP camera has f/2.0 aperture, fixed focal length. Rear 8MP camera is colorful and has f/1.8 aperture, capable of autofocus.    Improved System: The system of the smart phone is based on the in depth development suitable for Android system, which is more perfect and smooth."
